name,location,continent,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score,statusI
1,Cedar Point,3,Operating,43,3,2,2018,4,0,206.6904,4,73.943149,5741.4,100,2
2,Carowinds,3,Operating,4,5,2,2015,4,38,324.7992,0,95.069763,6600.9696,99.5,2
3,Cedar Point,3,Operating,24,5,5,2007,14,76,104.9856,2,70.214923,4448.7648,99.2,2
4,Kings Dominion,3,Operating,43,3,2,2018,4,60,111.5472,3,54.059277,3359.5392,99.1,2
5,Six Flags Great Adventure,3,Operating,24,9,2,2006,3,97,180.444,0,70.214923,4399.5528,98.9,2
6,Kolmården,2,Operating,43,9,2,2016,4,99,187.0056,3,70.214923,4265.04,98.8,2
7,Fuji-Q Highland,1,Operating,44,5,5,2006,4,0,249.3408,2,78.292746,3782.7624,98.8,2
8,Dollywood,3,Operating,43,9,2,2016,14,0,164.04,0,73.321778,3799.1664,98.8,2
9,Six Flags Magic Mountain,3,Operating,43,3,2,2015,4,0,121.3896,2,57.166132,4986.816,98.8,2
10,Port Aventura,2,Operating,4,5,2,2012,4,40,249.3408,0,83.263714,5131.1712,98.2,2
11,Energylandia,2,Operating,24,5,2,2018,4,41,252.6216,1,86.99194,4757.16,98.2,2
12,Phantasialand,2,Operating,24,5,2,2016,14,0,98.424,0,72.700407,4330.656,98.1,2
13,Six Flags New England,3,Operating,43,3,2,2015,4,0,108.2664,3,55.302019,3320.1696,98,2
14,Holiday Park,2,Operating,24,5,2,2001,3,66,173.8824,0,74.56452,4002.576,97.9,2
15,Liseberg,2,Operating,31,5,2,2014,14,64,134.5128,7,62.1371,4530.7848,97.8,2
16,Six Flags Fiesta Texas,3,Operating,43,5,2,2018,4,63,114.828,3,52.195164,1804.44,97.5,2
17,Kentucky Kingdom,3,Operating,43,5,2,2016,4,0,101.7048,3,52.195164,2742.7488,97.3,2
18,Silver Dollar City,3,Operating,43,3,2,2013,4,0,164.04,2,68.35081,0,97.1,2
19,Six Flags Over Georgia,3,Operating,43,3,2,2018,4,0,101.7048,3,50.331051,2401.5456,97,2
20,Cedar Point,3,Operating,24,5,2,2003,13,77,419.9424,0,119.303232,2798.5224,96.9,2
21,Legendia,2,Operating,52,5,6,2017,4,60,131.232,0,59.030245,2978.9664,96.8,2
22,Six Flags Great America,3,Operating,43,9,2,2014,4,97,180.444,2,71.457665,3116.76,96.7,2
23,Six Flags Fiesta Texas,3,Operating,43,3,2,2013,4,0,180.444,1,70.214923,3267.6768,96.5,2
24,Six Flags Magic Mountain,3,Operating,2,5,5,2002,4,0,173.8824,6,75.807262,3608.88,96.1,2
25,Mirabilandia,2,Operating,24,5,5,2009,14,76,180.444,3,74.56452,3280.8,95.9,2
26,Mirabilandia,2,Operating,4,5,5,2e3,4,0,164.04,6,64.622584,3936.96,95.8,2
27,Kings Dominion,3,Operating,24,5,5,2010,3,37,305.1144,0,90.098795,5101.644,95.8,2
28,Universal Studios Japan,1,Operating,4,5,1,2016,4,0,124.6704,5,0,3687.6192,95.8,2
29,Ferrari World,1,Operating,24,5,2,2016,3,0,206.6904,1,74.56452,4921.2,95.4,2
30,Knoebels,3,Operating,37,9,2,1985,4,74,78.7392,0,44.738712,3198.78,95.3,2
31,Silver Dollar City,3,Operating,31,5,2,2018,14,57,98.424,3,49.70968,3018.336,95.2,2
32,Cedar Point,3,Operating,24,5,2,2e3,3,37,308.3952,0,93.20565,6594.408,95.2,2
33,SeaWorld Orlando,3,Operating,4,5,2,2016,4,41,200.1288,0,71.457665,4757.16,94.9,2
34,Busch Gardens Williamsburg,3,Operating,4,5,5,2007,4,12,203.4096,2,74.56452,3116.76,94.6,2
35,Walibi Holland,2,Operating,24,5,2,2002,3,66,154.1976,0,65.865326,3982.8912,94.5,2
36,Six Flags Discovery Kingdom,3,Operating,43,3,2,2016,4,0,101.7048,3,52.816535,3198.78,94.3,2
37,Liseberg,2,Operating,24,9,2,2003,4,97,118.1088,0,55.92339,3510.456,94.3,2
38,Kentucky Kingdom,3,Operating,8,5,2,2014,4,0,101.7048,0,55.92339,2509.812,94,2
39,Alton Towers,2,Operating,4,5,5,0,4,95,42.6504,4,50.331051,2349.0528,93.9,2
40,Hansa Park,2,Operating,20,5,2,2015,4,47,239.4984,1,78.914117,4051.788,93.6,2
41,Parc Asterix,2,Operating,4,5,5,2012,4,0,131.232,5,56.544761,3280.8,93.6,2
42,Six Flags Over Georgia,3,Operating,4,5,2,2006,4,40,200.1288,0,69.593552,4478.292,93.4,2
43,Six flags Over Texas,3,Operating,43,3,2,2011,4,0,154.1976,0,65.243955,4199.424,93.2,2
44,Toverland,2,Operating,4,5,6,2018,4,0,131.232,3,59.030245,2667.2904,92.8,2
45,Six Flags New England,3,Operating,24,5,2,2e3,4,66,206.6904,0,77.050004,5400.1968,92.8,2
46,Busch Gardens Tampa,3,Operating,4,5,5,1996,4,0,150.9168,7,59.651616,3982.8912,92.7,2
47,Busch Gardens Tampa,3,Operating,4,5,5,2005,4,12,200.1288,1,70.214923,3188.9376,92.5,2
48,Knott's Berry Farm,3,Operating,24,5,2,2002,13,76,203.4096,0,82.020972,2201.4168,92.4,2
49,Hersheypark,3,Operating,24,5,5,2012,3,66,196.848,0,74.56452,3608.88,92.4,2
50,Shanghaï Disneyland,1,Operating,52,5,5,2016,14,0,78.7392,0,59.030245,3182.376,92.3,2
51,Carowinds,3,Operating,4,5,5,1999,4,0,111.5472,6,62.1371,2952.72,92.2,2
52,Six Flags Magic Mountain,3,Operating,4,5,1,2006,4,0,170.6016,4,62.1371,3599.0376,92.1,2
53,Parque Warner Madrid,2,Operating,4,5,5,2002,4,0,164.04,7,65.243955,3936.96,92,2
54,Six Flags Great Adventure,3,Operating,24,5,5,2005,13,77,456.0312,0,128.002426,3116.76,91.9,2
55,Six Flags Great Adventure,3,Operating,4,5,2,2001,4,40,229.656,0,79.535488,5393.6352,91.6,2
56,Holiday World,3,Operating,4,5,5,2015,14,0,141.0744,4,62.1371,3034.74,91.1,2
57,SeaWorld Orlando,3,Operating,4,5,1,2009,4,0,141.0744,4,60.272987,3359.5392,90.9,2
58,Tobu Zoo Park,1,Operating,24,5,0,2008,3,67,104.9856,0,54.059277,2460.6,90.8,2
59,Djurs Sommerland,2,Operating,24,5,2,2008,4,67,104.9856,0,55.92339,2477.004,90.8,2
60,Cedar Point,3,Operating,4,5,1,2013,4,0,170.6016,6,67.108068,4163.3352,90.5,2
61,Phantasialand,2,Operating,4,5,5,2006,4,0,85.3008,4,49.70968,0,90.3,2
62,Fuji-Q Highland,1,Operating,44,5,2,2001,9,2,170.6016,0,106.875812,3900.8712,90.2,2
63,Walygator Parc,2,Operating,4,5,5,2010,4,0,137.7936,6,57.166132,3936.96,90.1,2
64,Nigloland,2,Operating,31,5,2,0,4,66,98.424,0,62.1371,2624.64,89.9,2
65,Busch Gardens Williamsburg,3,Operating,4,5,5,1997,4,0,196.848,6,67.108068,0,89.9,2
66,Toverland,2,Operating,19,9,2,2007,4,97,114.828,0,0,3280.8,89.5,2
67,Waldameer,3,Operating,22,3,2,2008,4,97,78.7392,0,56.544761,2900.2272,89.2,2
68,Blackpool Pleasure Beach,2,Operating,31,5,2,2018,14,60,88.5816,1,49.70968,3749.9544,89.1,2
