name,nameI,continent,countryI,launch,launchI,type,typeI,restraint,restraintI,designer,designerI,construction,constructionI
Steel Vengeance,1,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
Fury 325,2,NorthAm,3,Chain lift hill,4,"Giga, Hyper",35,Lap bar,2,B&M,4,Steel,5
Maverick,3,NorthAm,3,Magnetic Launch (LIM/LSM),14,Rocket,73,Shoulder harness,5,Intamin,22,Steel,5
Twisted Timbers,4,NorthAm,3,Chain lift hill,4,Looper,57,Lap bar,2,RMC,41,Hybrid,3
El Toro,5,NorthAm,3,Cable lift hill,3,Twister,91,Lap bar,2,Intamin,22,Wooden,9
Wildfire,6,Europe,2,Chain lift hill,4,"Twister, Terrain",93,Lap bar,2,RMC,41,Wooden,9
Eejanaika,7,Asia,1,Chain lift hill,4,0,0,Shoulder harness,5,S&S,42,Steel,5
Lightning Rod,8,NorthAm,3,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,RMC,41,Wooden,9
Twisted Colossus,9,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
Shambhala,10,Europe,2,Chain lift hill,4,Hyper,37,Lap bar,2,B&M,4,Steel,5
Hyperion,11,Europe,2,Chain lift hill,4,"Hyper, Out & Back",38,Lap bar,2,Intamin,22,Steel,5
Taron,12,Europe,2,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Intamin,22,Steel,5
Wicked Cyclone,13,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
Expedition Ge Force,14,Europe,2,Cable lift hill,3,Megacoaster,63,Lap bar,2,Intamin,22,Steel,5
Helix,15,Europe,2,Magnetic Launch (LIM/LSM),14,"Looper, Terrain",61,Lap bar,2,Mack,29,Steel,5
Wonder Woman Golden Lasso,16,NorthAm,3,Chain lift hill,4,"Looper, Raptor",60,Lap bar,2,RMC,41,Steel,5
Storm Chaser,17,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Steel,5
Outlaw Run,18,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
Twisted Cyclone,19,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
Top Thrill Dragster,20,NorthAm,3,Hydraulic cable launch,13,"Rocket, Strata",74,Lap bar,2,Intamin,22,Steel,5
Lech Coaster,21,Europe,2,Chain lift hill,4,Looper,57,Vest restraint,6,Vekoma,50,Steel,5
Goliath,22,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,RMC,41,Wooden,9
Iron Rattler,23,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
X2,24,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,Arrow,2,Steel,5
iSpeed,25,Europe,2,Magnetic Launch (LIM/LSM),14,Rocket,73,Shoulder harness,5,Intamin,22,Steel,5
Katun,26,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Intimidator 305,27,NorthAm,3,Cable lift hill,3,Giga,34,Shoulder harness,5,Intamin,22,Steel,5
Flying Dinosaur,28,Asia,1,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Flying Aces,29,Asia,1,Cable lift hill,3,0,0,Lap bar,2,Intamin,22,Steel,5
Phoenix,30,NorthAm,3,Chain lift hill,4,Out & Back,71,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Time Traveler,31,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Spinning,54,Lap bar,2,Mack,29,Steel,5
Millennium Force,32,NorthAm,3,Cable lift hill,3,Giga,34,Lap bar,2,Intamin,22,Steel,5
Mako,33,NorthAm,3,Chain lift hill,4,"Hyper, Out & Back",38,Lap bar,2,B&M,4,Steel,5
Griffon,34,NorthAm,3,Chain lift hill,4,Dive,11,Shoulder harness,5,B&M,4,Steel,5
Goliath,35,Europe,2,Cable lift hill,3,Megacoaster,63,Lap bar,2,Intamin,22,Steel,5
Joker,36,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
Balder,37,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,Intamin,22,Wooden,9
Lightning Run,38,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Chance Rides,8,Steel,5
Nemesis,39,Europe,2,Chain lift hill,4,Terrain,89,Shoulder harness,5,B&M,4,Steel,5
Schwur des Kärnan,40,Europe,2,Chain lift hill,4,Infinity,44,Lap bar,2,Gerstlauer,18,Steel,5
OzIris,41,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Goliath,42,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,B&M,4,Steel,5
New Texas Giant,43,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,RMC,41,Hybrid,3
Fenix,44,Europe,2,Chain lift hill,4,0,0,Vest restraint,6,B&M,4,Steel,5
Superman : the Ride,45,NorthAm,3,Chain lift hill,4,Megacoaster,63,Lap bar,2,Intamin,22,Steel,5
Montu,46,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
SheiKra,47,NorthAm,3,Chain lift hill,4,Dive,11,Shoulder harness,5,B&M,4,Steel,5
Xcelerator,48,NorthAm,3,Hydraulic cable launch,13,Rocket,73,Lap bar,2,Intamin,22,Steel,5
Skyrush,49,NorthAm,3,Cable lift hill,3,Megacoaster,63,Shoulder harness,5,Intamin,22,Steel,5
Tron Lightcycle Power Run,50,Asia,1,Magnetic Launch (LIM/LSM),14,0,0,Shoulder harness,5,Vekoma,50,Steel,5
