name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
1,Cedar Point,3,41,3,2,2018,4,NA,206.6904,4,73.943149,5741.4,100
7,Fuji-Q Highland,1,42,5,5,2006,4,NA,249.3408,2,78.292746,3782.7624,98.8
8,Dollywood,3,41,9,2,2016,14,NA,164.04,0,73.321778,3799.1664,98.8
9,Six Flags Magic Mountain,3,41,3,2,2015,4,NA,121.3896,2,57.166132,4986.816,98.8
12,Phantasialand,2,22,5,2,2016,14,NA,98.424,0,72.700407,4330.656,98.1
13,Six Flags New England,3,41,3,2,2015,4,NA,108.2664,3,55.302019,3320.1696,98
17,Kentucky Kingdom,3,41,5,2,2016,4,NA,101.7048,3,52.195164,2742.7488,97.3
18,Silver Dollar City,3,41,3,2,2013,4,NA,164.04,2,68.35081,NA,97.1
19,Six Flags Over Georgia,3,41,3,2,2018,4,NA,101.7048,3,50.331051,2401.5456,97
23,Six Flags Fiesta Texas,3,41,3,2,2013,4,NA,180.444,1,70.214923,3267.6768,96.5
24,Six Flags Magic Mountain,3,2,5,5,2002,4,NA,173.8824,6,75.807262,3608.88,96.1
26,Mirabilandia,2,4,5,5,2e3,4,NA,164.04,6,64.622584,3936.96,95.8
28,Universal Studios Japan,1,4,5,1,2016,4,NA,124.6704,5,NA,3687.6192,95.8
29,Ferrari World,1,22,5,2,2016,3,NA,206.6904,1,74.56452,4921.2,95.4
36,Six Flags Discovery Kingdom,3,41,3,2,2016,4,NA,101.7048,3,52.816535,3198.78,94.3
38,Kentucky Kingdom,3,8,5,2,2014,4,NA,101.7048,0,55.92339,2509.812,94
39,Alton Towers,2,4,5,5,NA,4,89,42.6504,4,50.331051,2349.0528,93.9
41,Parc Asterix,2,4,5,5,2012,4,NA,131.232,5,56.544761,3280.8,93.6
43,Six flags Over Texas,3,41,3,2,2011,4,NA,154.1976,0,65.243955,4199.424,93.2
44,Toverland,2,4,5,6,2018,4,NA,131.232,3,59.030245,2667.2904,92.8
46,Busch Gardens Tampa,3,4,5,5,1996,4,NA,150.9168,7,59.651616,3982.8912,92.7
50,Shanghaï Disneyland,1,50,5,5,2016,14,NA,78.7392,0,59.030245,3182.376,92.3
51,Carowinds,3,4,5,5,1999,4,NA,111.5472,6,62.1371,2952.72,92.2
52,Six Flags Magic Mountain,3,4,5,1,2006,4,NA,170.6016,4,62.1371,3599.0376,92.1
53,Parque Warner Madrid,2,4,5,5,2002,4,NA,164.04,7,65.243955,3936.96,92
56,Holiday World,3,4,5,5,2015,14,NA,141.0744,4,62.1371,3034.74,91.1
57,SeaWorld Orlando,3,4,5,1,2009,4,NA,141.0744,4,60.272987,3359.5392,90.9
58,Tobu Zoo Park,1,22,5,NA,2008,3,64,104.9856,0,54.059277,2460.6,90.8
60,Cedar Point,3,4,5,1,2013,4,NA,170.6016,6,67.108068,4163.3352,90.5
61,Phantasialand,2,4,5,5,2006,4,NA,85.3008,4,49.70968,NA,90.3
63,Walygator Parc,2,4,5,5,2010,4,NA,137.7936,6,57.166132,3936.96,90.1
64,Nigloland,2,29,5,2,NA,4,63,98.424,0,62.1371,2624.64,89.9
65,Busch Gardens Williamsburg,3,4,5,5,1997,4,NA,196.848,6,67.108068,NA,89.9
66,Toverland,2,17,9,2,2007,4,91,114.828,0,NA,3280.8,89.5
69,Universal Studios Singapore,1,50,5,5,2010,11,NA,137.7936,0,55.92339,NA,89
71,Six Flags Fiesta Texas,3,4,5,5,2e3,4,NA,167.3208,6,70.214923,4025.5416,88.6
79,PowerPark,2,18,4,2,2015,14,NA,131.232,3,64.622584,2821.488,87.4
81,Dorney Park,3,4,5,5,2001,4,NA,134.5128,4,57.787503,3116.76,87.3
85,Universal Studios Florida,3,22,5,2,2014,14,10,NA,0,NA,NA,86.8
86,Six Flags St Louis,3,37,5,2,1998,14,NA,216.5328,1,70.214923,1299.1968,86.8
88,Alton Towers,2,4,5,1,2002,4,NA,65.616,3,46.602825,2755.872,86.2
89,Hansa Park,2,18,5,5,2009,7,21,131.232,1,62.1371,NA,86.1
92,Kings Island,3,10,9,2,1979,4,NA,111.5472,0,64.622584,7358.8344,85.7
93,Worlds of Fun,3,4,5,5,2006,4,NA,150.9168,4,59.651616,3080.6712,85.5
94,Universal Studios Islands of Adventure,3,4,5,5,NA,16,57,108.2664,7,66.486697,3697.4616,85.5
97,Six Flags Discovery Kingdom,3,4,5,5,2e3,4,NA,150.9168,7,65.243955,3936.96,85.2
99,Fun Spot Kissimmee,3,20,9,2,2017,4,NA,82.02,1,48.466938,2289.9984,84.9
103,Silver Dollar City,3,42,5,2,NA,6,2,98.424,0,62.1371,3503.8944,84.3
104,Gardaland,2,4,5,5,2011,4,NA,108.2664,3,55.92339,2526.216,84.2
105,Silver Dollar City,3,4,5,5,NA,4,57,121.3896,5,65.865326,3074.1096,84.2
106,Busch Gardens Williamsburg,3,56,5,2,2012,14,49,NA,0,52.816535,2834.6112,84.1
107,Ocean Park,1,4,5,5,NA,4,57,114.828,4,55.92339,2788.68,84.1
114,SeaWorld Orlando,3,4,5,5,2e3,4,NA,150.9168,7,65.243955,4176.4584,83.5
117,Kings Dominion,3,22,5,5,1998,14,NA,154.1976,4,69.593552,2755.872,83.2
118,Carowinds,3,4,5,2,2010,NA,37,232.9368,0,74.56452,5314.896,83.2
119,Hong Kong Disneyland,1,50,5,2,2012,7,65,NA,0,34.796776,3608.88,83
120,Thorpe Park,2,4,5,5,2012,4,NA,127.9512,4,NA,2542.62,82.8
121,Energylandia,2,50,5,5,NA,14,57,82.02,3,49.088309,1837.248,82.7
