name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
2,Carowinds,3,4,5,2,2015,4,35,324.7992,0,95.069763,6600.9696,99.5
3,Cedar Point,3,22,5,5,2007,14,73,104.9856,2,70.214923,4448.7648,99.2
4,Kings Dominion,3,41,3,2,2018,4,57,111.5472,3,54.059277,3359.5392,99.1
5,Six Flags Great Adventure,3,22,9,2,2006,3,91,180.444,0,70.214923,4399.5528,98.9
6,Kolmården,2,41,9,2,2016,4,93,187.0056,3,70.214923,4265.04,98.8
10,Port Aventura,2,4,5,2,2012,4,37,249.3408,0,83.263714,5131.1712,98.2
11,Energylandia,2,22,5,2,2018,4,38,252.6216,1,86.99194,4757.16,98.2
14,Holiday Park,2,22,5,2,2001,3,63,173.8824,0,74.56452,4002.576,97.9
15,Liseberg,2,29,5,2,2014,14,61,134.5128,7,62.1371,4530.7848,97.8
16,Six Flags Fiesta Texas,3,41,5,2,2018,4,60,114.828,3,52.195164,1804.44,97.5
20,Cedar Point,3,22,5,2,2003,13,74,419.9424,0,119.303232,2798.5224,96.9
21,Legendia,2,50,5,6,2017,4,57,131.232,0,59.030245,2978.9664,96.8
22,Six Flags Great America,3,41,9,2,2014,4,91,180.444,2,71.457665,3116.76,96.7
25,Mirabilandia,2,22,5,5,2009,14,73,180.444,3,74.56452,3280.8,95.9
27,Kings Dominion,3,22,5,5,2010,3,34,305.1144,0,90.098795,5101.644,95.8
30,Knoebels,3,35,9,2,1985,4,71,78.7392,0,44.738712,3198.78,95.3
31,Silver Dollar City,3,29,5,2,2018,14,54,98.424,3,49.70968,3018.336,95.2
32,Cedar Point,3,22,5,2,2e3,3,34,308.3952,0,93.20565,6594.408,95.2
33,SeaWorld Orlando,3,4,5,2,2016,4,38,200.1288,0,71.457665,4757.16,94.9
34,Busch Gardens Williamsburg,3,4,5,5,2007,4,11,203.4096,2,74.56452,3116.76,94.6
35,Walibi Holland,2,22,5,2,2002,3,63,154.1976,0,65.865326,3982.8912,94.5
37,Liseberg,2,22,9,2,2003,4,91,118.1088,0,55.92339,3510.456,94.3
40,Hansa Park,2,18,5,2,2015,4,44,239.4984,1,78.914117,4051.788,93.6
