name,park,city,state,country,region,construction,type,year_opened,height_feet,speed_mph,length_feet,number_of_inversions,drop_feet,g_force,vertical_angle_degrees,duration_sec
10 Inversion Roller Coaster,Chimelong Paradise,Panyu,"Guangzhou, Guangdong",China,Asia,Steel,Sit Down,2006,98.4,45,2788.8,10,NA,NA,NA,5520
Abismo,Parque de Atracciones de Madrid,Madrid,Madrid,Spain,Europe,Steel,Sit Down,2006,151.6,65.2,1476.4,2,NA,4,NA,3600
Adrenaline Peak,Oaks Amusement Park,Portland,Oregon,United States,North America,Steel,Sit Down,2018,72,45,1050,3,NA,NA,97,NA
Afterburn,Carowinds,Charlotte,North Carolina,United States,North America,Steel,Inverted,1999,113,62,2956,6,NA,NA,NA,10020
Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,North America,Steel,Inverted,1997,195,67,3828,6,170,3.7,NA,11400
Alpina Blitz,Nigloland,Dolancourt,Champagne-Ardenne,France,Europe,Steel,Sit Down,2014,108.3,51.6,2358.9,0,NA,4.3,NA,NA
Altair,Cinecittà World,Rome,Rome,Italy,Europe,Steel,Sit Down,2014,108.3,52.8,2879.8,10,NA,NA,NA,NA
American Eagle,Six Flags Great America,Gurnee,Illinois,United States,North America,Wood,Sit Down,1981,127,66,4650,0,147,NA,55,8580
Anaconda,Walygator Parc,Maizieres-les-Metz,Lorraine,France,Europe,Wood,Sit Down,1989,118.1,55.9,3937,0,40,NA,NA,7800
Apocalypse,Six Flags America,Upper Marlboro,Maryland,United States,North America,Steel,Stand Up,2012,100,55,2900,2,90,NA,NA,7200
Apocalypse the Ride,Six Flags Magic Mountain,Valencia,California,United States,North America,Wood,Sit Down,2009,95,50.1,2877,0,87.3,NA,NA,10800
Apollo's Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,North America,Steel,Sit Down,1999,170,73,4882,0,210,4.1,65,8100
Atlantica SuperSplash,Europa Park,Rust,Baden Wuerttemberg,Germany,Europe,Steel,Sit Down,2005,98.4,49.7,1279.5,0,NA,NA,NA,12e3
Backlot Stunt Coaster,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Sit Down,2005,45.2,40,1960,0,31.2,NA,NA,3840
Balder,Liseberg,Gothenburg,Vastra Gotaland,Sweden,Europe,Wood,Sit Down,2003,118.1,55.9,3510.5,0,NA,NA,70,7680
Bandit,Movie Park Germany,Bottrop,North Rhine-Westphali,Germany,Europe,Wood,Sit Down,1999,91.2,49.7,3605.7,0,81.7,NA,NA,5400
Banshee,Kings Island,Mason,Ohio,United States,North America,Steel,Inverted,2014,167,68,4124,7,150,NA,NA,9600
Bat,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Suspended,1993,78,51,2352,0,NA,NA,NA,6720
Batman - The Dark Knight,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Sit Down,2002,117.8,55,2600,5,NA,NA,NA,8400
Batman The Ride,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Inverted,1992,100,50,2700,5,NA,NA,NA,7200
Batman The Ride,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Steel,Inverted,1993,105,50,2693,5,NA,NA,NA,5400
Batman The Ride,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Inverted,1994,105,50,2700,5,NA,4,NA,7200
Batman The Ride,Six Flags St. Louis,Eureka,Missouri,United States,North America,Steel,Inverted,1995,105,50,2693,5,NA,4,NA,7200
Batman The Ride,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Inverted,1999,105,50,2700,5,NA,4,NA,7200
Batman the Ride,Six Flags Mexico,Mexico City,Mexico City,Mexico,Central America,Steel,Inverted,2000,109.3,49.7,2260.5,5,NA,NA,NA,5760
Batman: Arkham Asylum,Parque Warner Madrid,San Martin de la Vega,Madrid,Spain,Europe,Steel,Inverted,2002,105,49.7,2700.2,5,NA,4.9,NA,4500
Batwing,Six Flags America,Upper Marlboro,Maryland,United States,North America,Steel,Flying,2001,115,50,3340,5,NA,4.3,NA,7320
Beast,Kings Island,Mason,Ohio,United States,North America,Wood,Sit Down,1979,110,64.8,7359,0,141,NA,45,15e3
Behemoth,Canada's Wonderland,Vaughan,Onterio,Canada,North America,Steel,Sit Down,2008,230,77,5318,0,NA,NA,75,NA
Big Apple Coaster,"New York, New York Hotel & Casino",Las Vegas,Nevada,United States,North America,Steel,Sit Down,1997,203,67,4777,2,144,NA,NA,9600
Big Loop,Heide-Park Resort,Soltau,Lower Saxony,Germany,Europe,Steel,Sit Down,1983,98.4,39.2,2316.3,4,NA,NA,NA,NA
Big One,Blackpool Pleasure Beach,Blackpool,"Lancashire, England",United Kingdom,Europe,Steel,Sit Down,1994,213,74,5497,0,205,3.5,65,10800
