name,park,country,score,status,manufacturer,construction,launch,restraint,type,opening_year,height,speed,length,inversions
Steel Vengeance,Cedar Point,United States,100,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2018,206.6904,73.943149,5741.4,4
Fury 325,Carowinds,United States,99.5,Operating,B&M,Steel,Chain lift hill,Lap bar,"Giga, Hyper",2015,324.7992,95.069763,6600.9696,0
Maverick,Cedar Point,United States,99.2,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Rocket,2007,104.9856,70.214923,4448.7648,2
Twisted Timbers,Kings Dominion,United States,99.1,Operating,RMC,Hybrid,Chain lift hill,Lap bar,Looper,2018,111.5472,54.059277,3359.5392,3
El Toro,Six Flags Great Adventure,United States,98.9,Operating,Intamin,Wooden,Cable lift hill,Lap bar,Twister,2006,180.444,70.214923,4399.5528,0
Wildfire,Kolmården,Sweden,98.8,Operating,RMC,Wooden,Chain lift hill,Lap bar,"Twister, Terrain",2016,187.0056,70.214923,4265.04,3
Eejanaika,Fuji-Q Highland,Japan,98.8,Operating,S&S,Steel,Chain lift hill,Shoulder harness,NA,2006,249.3408,78.292746,3782.7624,2
Lightning Rod,Dollywood,United States,98.8,Operating,RMC,Wooden,Magnetic Launch (LIM/LSM),Lap bar,NA,2016,164.04,73.321778,3799.1664,0
Twisted Colossus,Six Flags Magic Mountain,United States,98.8,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2015,121.3896,57.166132,4986.816,2
Shambhala,Port Aventura,Spain,98.2,Operating,B&M,Steel,Chain lift hill,Lap bar,Hyper,2012,249.3408,83.263714,5131.1712,0
Hyperion,Energylandia,Poland,98.2,Operating,Intamin,Steel,Chain lift hill,Lap bar,"Hyper, Out & Back",2018,252.6216,86.99194,4757.16,1
Taron,Phantasialand,Germany,98.1,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Lap bar,NA,2016,98.424,72.700407,4330.656,0
Wicked Cyclone,Six Flags New England,United States,98,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2015,108.2664,55.302019,3320.1696,3
Expedition Ge Force,Holiday Park,Germany,97.9,Operating,Intamin,Steel,Cable lift hill,Lap bar,Megacoaster,2001,173.8824,74.56452,4002.576,0
Helix,Liseberg,Sweden,97.8,Operating,Mack,Steel,Magnetic Launch (LIM/LSM),Lap bar,"Looper, Terrain",2014,134.5128,62.1371,4530.7848,7
Wonder Woman Golden Lasso,Six Flags Fiesta Texas,United States,97.5,Operating,RMC,Steel,Chain lift hill,Lap bar,"Looper, Raptor",2018,114.828,52.195164,1804.44,3
Storm Chaser,Kentucky Kingdom,United States,97.3,Operating,RMC,Steel,Chain lift hill,Lap bar,NA,2016,101.7048,52.195164,2742.7488,3
Outlaw Run,Silver Dollar City,United States,97.1,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2013,164.04,68.35081,NA,2
Twisted Cyclone,Six Flags Over Georgia,United States,97,Operating,RMC,Hybrid,Chain lift hill,Lap bar,NA,2018,101.7048,50.331051,2401.5456,3
Top Thrill Dragster,Cedar Point,United States,96.9,Operating,Intamin,Steel,Hydraulic cable launch,Lap bar,"Rocket, Strata",2003,419.9424,119.303232,2798.5224,0
