name,park,country,score,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length
Steel Vengeance,Cedar Point,United States,100,Operating,RMC,Hybrid,Lap bar,2018,Chain lift hill,NA,206.6904,4,73.943149,5741.4
Fury 325,Carowinds,United States,99.5,Operating,B&M,Steel,Lap bar,2015,Chain lift hill,"Giga, Hyper",324.7992,0,95.069763,6600.9696
Maverick,Cedar Point,United States,99.2,Operating,Intamin,Steel,Shoulder harness,2007,Magnetic Launch (LIM/LSM),Rocket,104.9856,2,70.214923,4448.7648
Twisted Timbers,Kings Dominion,United States,99.1,Operating,RMC,Hybrid,Lap bar,2018,Chain lift hill,Looper,111.5472,3,54.059277,3359.5392
El Toro,Six Flags Great Adventure,United States,98.9,Operating,Intamin,Wooden,Lap bar,2006,Cable lift hill,Twister,180.444,0,70.214923,4399.5528
Wildfire,Kolmården,Sweden,98.8,Operating,RMC,Wooden,Lap bar,2016,Chain lift hill,"Twister, Terrain",187.0056,3,70.214923,4265.04
Eejanaika,Fuji-Q Highland,Japan,98.8,Operating,S&S,Steel,Shoulder harness,2006,Chain lift hill,NA,249.3408,2,78.292746,3782.7624
Lightning Rod,Dollywood,United States,98.8,Operating,RMC,Wooden,Lap bar,2016,Magnetic Launch (LIM/LSM),NA,164.04,0,73.321778,3799.1664
Twisted Colossus,Six Flags Magic Mountain,United States,98.8,Operating,RMC,Hybrid,Lap bar,2015,Chain lift hill,NA,121.3896,2,57.166132,4986.816
Shambhala,Port Aventura,Spain,98.2,Operating,B&M,Steel,Lap bar,2012,Chain lift hill,Hyper,249.3408,0,83.263714,5131.1712
Hyperion,Energylandia,Poland,98.2,Operating,Intamin,Steel,Lap bar,2018,Chain lift hill,"Hyper, Out & Back",252.6216,1,86.99194,4757.16
Taron,Phantasialand,Germany,98.1,Operating,Intamin,Steel,Lap bar,2016,Magnetic Launch (LIM/LSM),NA,98.424,0,72.700407,4330.656
Wicked Cyclone,Six Flags New England,United States,98,Operating,RMC,Hybrid,Lap bar,2015,Chain lift hill,NA,108.2664,3,55.302019,3320.1696
Expedition Ge Force,Holiday Park,Germany,97.9,Operating,Intamin,Steel,Lap bar,2001,Cable lift hill,Megacoaster,173.8824,0,74.56452,4002.576
Helix,Liseberg,Sweden,97.8,Operating,Mack,Steel,Lap bar,2014,Magnetic Launch (LIM/LSM),"Looper, Terrain",134.5128,7,62.1371,4530.7848
Wonder Woman Golden Lasso,Six Flags Fiesta Texas,United States,97.5,Operating,RMC,Steel,Lap bar,2018,Chain lift hill,"Looper, Raptor",114.828,3,52.195164,1804.44
Storm Chaser,Kentucky Kingdom,United States,97.3,Operating,RMC,Steel,Lap bar,2016,Chain lift hill,NA,101.7048,3,52.195164,2742.7488
Outlaw Run,Silver Dollar City,United States,97.1,Operating,RMC,Hybrid,Lap bar,2013,Chain lift hill,NA,164.04,2,68.35081,NA
Twisted Cyclone,Six Flags Over Georgia,United States,97,Operating,RMC,Hybrid,Lap bar,2018,Chain lift hill,NA,101.7048,3,50.331051,2401.5456
Top Thrill Dragster,Cedar Point,United States,96.9,Operating,Intamin,Steel,Lap bar,2003,Hydraulic cable launch,"Rocket, Strata",419.9424,0,119.303232,2798.5224
Lech Coaster,Legendia,Poland,96.8,Operating,Vekoma,Steel,Vest restraint,2017,Chain lift hill,Looper,131.232,0,59.030245,2978.9664
Goliath,Six Flags Great America,United States,96.7,Operating,RMC,Wooden,Lap bar,2014,Chain lift hill,Twister,180.444,2,71.457665,3116.76
Iron Rattler,Six Flags Fiesta Texas,United States,96.5,Operating,RMC,Hybrid,Lap bar,2013,Chain lift hill,NA,180.444,1,70.214923,3267.6768
X2,Six Flags Magic Mountain,United States,96.1,Operating,Arrow,Steel,Shoulder harness,2002,Chain lift hill,NA,173.8824,6,75.807262,3608.88
iSpeed,Mirabilandia,Italy,95.9,Operating,Intamin,Steel,Shoulder harness,2009,Magnetic Launch (LIM/LSM),Rocket,180.444,3,74.56452,3280.8
Katun,Mirabilandia,Italy,95.8,Operating,B&M,Steel,Shoulder harness,2e3,Chain lift hill,NA,164.04,6,64.622584,3936.96
Intimidator 305,Kings Dominion,United States,95.8,Operating,Intamin,Steel,Shoulder harness,2010,Cable lift hill,Giga,305.1144,0,90.098795,5101.644
Flying Dinosaur,Universal Studios Japan,Japan,95.8,Operating,B&M,Steel,Flying restraint,2016,Chain lift hill,NA,124.6704,5,NA,3687.6192
Flying Aces,Ferrari World,United Arab Emirates,95.4,Operating,Intamin,Steel,Lap bar,2016,Cable lift hill,NA,206.6904,1,74.56452,4921.2
Phoenix,Knoebels,United States,95.3,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1985,Chain lift hill,Out & Back,78.7392,0,44.738712,3198.78
Time Traveler,Silver Dollar City,United States,95.2,Operating,Mack,Steel,Lap bar,2018,Magnetic Launch (LIM/LSM),Launched Spinning,98.424,3,49.70968,3018.336
Millennium Force,Cedar Point,United States,95.2,Operating,Intamin,Steel,Lap bar,2e3,Cable lift hill,Giga,308.3952,0,93.20565,6594.408
Mako,SeaWorld Orlando,United States,94.9,Operating,B&M,Steel,Lap bar,2016,Chain lift hill,"Hyper, Out & Back",200.1288,0,71.457665,4757.16
Griffon,Busch Gardens Williamsburg,United States,94.6,Operating,B&M,Steel,Shoulder harness,2007,Chain lift hill,Dive,203.4096,2,74.56452,3116.76
Goliath,Walibi Holland,Netherlands,94.5,Operating,Intamin,Steel,Lap bar,2002,Cable lift hill,Megacoaster,154.1976,0,65.865326,3982.8912
Joker,Six Flags Discovery Kingdom,United States,94.3,Operating,RMC,Hybrid,Lap bar,2016,Chain lift hill,NA,101.7048,3,52.816535,3198.78
Balder,Liseberg,Sweden,94.3,Operating,Intamin,Wooden,Lap bar,2003,Chain lift hill,Twister,118.1088,0,55.92339,3510.456
Lightning Run,Kentucky Kingdom,United States,94,Operating,Chance Rides,Steel,Lap bar,2014,Chain lift hill,NA,101.7048,0,55.92339,2509.812
Nemesis,Alton Towers,United Kingdom,93.9,Operating,B&M,Steel,Shoulder harness,NA,Chain lift hill,Terrain,42.6504,4,50.331051,2349.0528
Schwur des Kärnan,Hansa Park,Germany,93.6,Operating,Gerstlauer,Steel,Lap bar,2015,Chain lift hill,Infinity,239.4984,1,78.914117,4051.788
OzIris,Parc Asterix,France,93.6,Operating,B&M,Steel,Shoulder harness,2012,Chain lift hill,NA,131.232,5,56.544761,3280.8
Goliath,Six Flags Over Georgia,United States,93.4,Operating,B&M,Steel,Lap bar,2006,Chain lift hill,Hyper,200.1288,0,69.593552,4478.292
