name score height speed length inversions status park country manufacturer type launch restraint "opening date" type1 train cost "closing date" vr
"Steel Vengeance" 100 206.6904 73.943149 5741.4 4 Operating "Cedar Point" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 5/5/18 NA NA NA NA NA
"Fury 325" 99.5 324.7992 95.069763 6600.9696 0 Operating Carowinds "United States" B&M Steel "Chain lift hill" "Lap bar" 3/28/15 "Giga, Hyper" NA NA NA NA
Maverick 99.2 104.9856 70.214923 4448.7648 2 Operating "Cedar Point" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2007 Rocket NA NA NA NA
"Twisted Timbers" 99.1 111.5472 54.059277 3359.5392 3 Operating "Kings Dominion" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 3/23/18 Looper NA NA NA NA
"El Toro" 98.9 180.444 70.214923 4399.5528 0 Operating "Six Flags Great Adventure" "United States" Intamin Wooden "Cable lift hill" "Lap bar" 2006 Twister NA NA NA NA
Wildfire 98.8 187.0056 70.214923 4265.04 3 Operating Kolmården Sweden RMC Wooden "Chain lift hill" "Lap bar" 2016 "Twister, Terrain" NA NA NA NA
Eejanaika 98.8 249.3408 78.292746 3782.7624 2 Operating "Fuji-Q Highland" Japan S&S Steel "Chain lift hill" "Shoulder harness" 2006 NA "4th Dimension" NA NA NA
"Lightning Rod" 98.8 164.04 73.321778 3799.1664 0 Operating Dollywood "United States" RMC Wooden "Magnetic Launch (LIM/LSM)" "Lap bar" 6/13/16 NA NA NA NA NA
"Twisted Colossus" 98.8 121.3896 57.166132 4986.816 2 Operating "Six Flags Magic Mountain" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 5/23/15 NA NA NA NA NA
Shambhala 98.2 249.3408 83.263714 5131.1712 0 Operating "Port Aventura" Spain B&M Steel "Chain lift hill" "Lap bar" 2012 Hyper NA NA NA NA
Hyperion 98.2 252.6216 86.99194 4757.16 1 Operating Energylandia Poland Intamin Steel "Chain lift hill" "Lap bar" 7/14/18 "Hyper, Out & Back" NA NA NA NA
Taron 98.1 98.424 72.700407 4330.656 0 Operating Phantasialand Germany Intamin Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 6/30/16 NA "Sit Down" NA NA NA
"Wicked Cyclone" 98 108.2664 55.302019 3320.1696 3 Operating "Six Flags New England" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 5/24/15 NA NA NA NA NA
"Expedition Ge Force" 97.9 173.8824 74.56452 4002.576 0 Operating "Holiday Park" Germany Intamin Steel "Cable lift hill" "Lap bar" 2001 Megacoaster NA NA NA NA
Helix 97.8 134.5128 62.1371 4530.7848 7 Operating Liseberg Sweden Mack Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 4/26/14 "Looper, Terrain" NA NA NA NA
"Wonder Woman Golden Lasso" 97.5 114.828 52.195164 1804.44 3 Operating "Six Flags Fiesta Texas" "United States" RMC Steel "Chain lift hill" "Lap bar" 5/12/18 "Looper, Raptor" NA NA NA NA
"Storm Chaser" 97.3 101.7048 52.195164 2742.7488 3 Operating "Kentucky Kingdom" "United States" RMC Steel "Chain lift hill" "Lap bar" 4/30/16 NA NA NA NA NA
"Outlaw Run" 97.1 164.04 68.35081 NA 2 Operating "Silver Dollar City" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 3/15/13 NA NA "10 000 000 $" NA NA
"Twisted Cyclone" 97 101.7048 50.331051 2401.5456 3 Operating "Six Flags Over Georgia" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 5/26/18 NA NA NA NA NA
"Top Thrill Dragster" 96.9 419.9424 119.303232 2798.5224 0 Operating "Cedar Point" "United States" Intamin Steel "Hydraulic cable launch" "Lap bar" 2003 "Rocket, Strata" NA NA NA NA
"Lech Coaster" 96.8 131.232 59.030245 2978.9664 0 Operating Legendia Poland Vekoma Steel "Chain lift hill" "Vest restraint" 7/1/17 Looper NA NA NA NA
Goliath 96.7 180.444 71.457665 3116.76 2 Operating "Six Flags Great America" "United States" RMC Wooden "Chain lift hill" "Lap bar" 6/19/14 Twister NA NA NA NA
"Iron Rattler" 96.5 180.444 70.214923 3267.6768 1 Operating "Six Flags Fiesta Texas" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 5/23/13 NA NA NA NA NA
X2 96.1 173.8824 75.807262 3608.88 6 Operating "Six Flags Magic Mountain" "United States" Arrow Steel "Chain lift hill" "Shoulder harness" 2002 NA "4th Dimension" NA NA NA
iSpeed 95.9 180.444 74.56452 3280.8 3 Operating Mirabilandia Italy Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2009 Rocket NA NA NA NA
Katun 95.8 164.04 64.622584 3936.96 6 Operating Mirabilandia Italy B&M Steel "Chain lift hill" "Shoulder harness" 2000 NA Inverted NA NA NA
"Intimidator 305" 95.8 305.1144 90.098795 5101.644 0 Operating "Kings Dominion" "United States" Intamin Steel "Cable lift hill" "Shoulder harness" 2010 Giga NA NA NA NA
"Flying Dinosaur" 95.8 124.6704 NA 3687.6192 5 Operating "Universal Studios Japan" Japan B&M Steel "Chain lift hill" "Flying restraint" 3/18/16 NA Flying NA NA NA
"Flying Aces" 95.4 206.6904 74.56452 4921.2 1 Operating "Ferrari World" "United Arab Emirates" Intamin Steel "Cable lift hill" "Lap bar" 2/24/16 NA "Sit Down" NA NA NA
Phoenix 95.3 78.7392 44.738712 3198.78 0 Operating Knoebels "United States" "Philadelphia Toboggan Coaster" Wooden "Chain lift hill" "Lap bar" 1985 "Out & Back" NA NA NA NA
"Time Traveler" 95.2 98.424 49.70968 3018.336 3 Operating "Silver Dollar City" "United States" Mack Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 3/14/18 NA Spinning NA NA NA
